+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
| projecthub.rest.api         | AvailabilityApiTest.java                  | src      |       35 |        0 |       46 |      237 |      318 |
| projecthub.rest.api         | FeatureApi.java                           | src      |       14 |        0 |       16 |       77 |      107 |
| projecthub.rest.api         | FeatureApiTest.java                       | src      |       33 |        0 |       31 |      195 |      259 |
| projecthub.rest.api         | LocationApi.java                          | src      |       11 |        0 |       17 |       60 |       88 |
| projecthub.rest.api         | LocationApiTest.java                      | src      |       43 |        0 |       47 |      274 |      364 |
| projecthub.rest.api         | OffDayApi.java                            | src      |       12 |        0 |       17 |       60 |       89 |
| projecthub.rest.api         | OffDayApiTest.java                        | src      |       43 |        0 |       62 |      280 |      385 |
| projecthub.rest.api         | ProductApi.java                           | src      |       13 |        0 |       16 |       67 |       96 |
| projecthub.rest.api         | ProductApiTest.java                       | src      |       26 |        0 |       26 |      185 |      237 |
| projecthub.rest.api         | SprintApi.java                            | src      |       14 |        0 |       16 |       77 |      107 |
| projecthub.rest.api         | SprintApiTest.java                        | src      |       31 |        0 |       35 |      189 |      255 |
| projecthub.rest.api         | TaskApi.java                              | src      |       15 |        0 |       16 |       78 |      109 |
| projecthub.rest.api         | TaskApiTest.java                          | src      |       28 |        0 |       22 |      128 |      178 |
| projecthub.rest.api         | UserApi.java                              | src      |       16 |        6 |       16 |       97 |      135 |
| projecthub.rest.api         | UserApiTest.java                          | src      |       35 |        0 |       31 |      167 |      233 |
| projecthub.rest.api         | VersionApi.java                           | src      |       14 |        0 |       16 |       77 |      107 |
| projecthub.rest.api         | VersionApiTest.java                       | src      |       33 |        0 |       31 |      203 |      267 |
| projecthub.rest.api         | WorklogApi.java                           | src      |       14 |        0 |       16 |       77 |      107 |
| projecthub.rest.api         | WorklogApiTest.java                       | src      |       16 |        0 |       18 |       71 |      105 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.rest.controller  | AvailabilityController.java               | src      |       10 |        0 |       16 |       54 |       80 |
| projecthub.rest.controller  | FeatureController.java                    | src      |       11 |        0 |       18 |       59 |       88 |
| projecthub.rest.controller  | LocationController.java                   | src      |       10 |        0 |       16 |       55 |       81 |
| projecthub.rest.controller  | OffDayController.java                     | src      |       14 |        0 |       18 |       81 |      113 |
